Source,Target,Type,Id,Label,Weight
53e99821b7602d9702040c6a,53e9b32bb7602d9703dfa3e1,Directed,6510,,1
53e99821b7602d9702040c6a,53e9aa1db7602d9703389e04,Directed,6518,,1
53e99821b7602d9702040c6a,53e9b572b7602d97040b030f,Directed,6521,,1
53e99821b7602d9702040c6a,53e9a07ab7602d9702961bc1,Directed,6524,,1
53e99821b7602d9702040c6a,53e99be3b7602d970248ef84,Directed,6528,,1
53e99822b7602d9702045041,53e9b682b7602d97041eb83e,Directed,6992,,1
53e99822b7602d9702045041,53e9b856b7602d970441967c,Directed,6994,,1
53e9982cb7602d9702050667,53e9acfeb7602d97036dd0a6,Directed,7230,,1
53e9982cb7602d9702050667,53e9b195b7602d9703c1d5d6,Directed,7238,,1
53e9982cb7602d9702050667,53e9baa7b7602d97046d5f62,Directed,7247,,1
53e99832b7602d9702055bfb,53e9b213b7602d9703cab629,Directed,7429,,1
53e99832b7602d9702055bfb,53e9b38eb7602d9703e6e769,Directed,7443,,1
53e9984bb7602d970207e72d,53e9abc4b7602d97035749f1,Directed,8693,,1
53e9984fb7602d9702082dfc,53e99de2b7602d97026a6081,Directed,8872,,1
53e9984fb7602d9702082dfc,53e9a6f5b7602d9703027bf6,Directed,8893,,1
53e9984fb7602d9702083515,53e9b2e5b7602d9703d9c0ac,Directed,8899,,1
53e99854b7602d970208be8a,53e9b58eb7602d97040d211f,Directed,9118,,1
53e99858b7602d9702091f89,53e9b16db7602d9703bf46ca,Directed,9281,,1
53e99858b7602d9702092ea3,53e9b213b7602d9703cad00a,Directed,9454,,1
53e99858b7602d9702092ea3,56d8a2b2dabfae2eee719a8c,Directed,9457,,1
53e99858b7602d9702093b86,53e9a073b7602d970295adc8,Directed,9477,,1
53e99859b7602d9702094291,53e99b7fb7602d970242920f,Directed,9493,,1
53e99859b7602d9702094291,53e99bc0b7602d9702465e6c,Directed,9494,,1
53e99859b7602d9702094291,53e9a64ab7602d9702f7dded,Directed,9499,,1
53e99859b7602d9702094291,53e9ad5db7602d970373fc51,Directed,9500,,1
53e99859b7602d9702094291,53e9aec4b7602d97038ef465,Directed,9501,,1
53e99859b7602d9702094291,53e9b091b7602d9703afbd1c,Directed,9502,,1
53e99859b7602d9702094291,53e9b946b7602d970453331a,Directed,9504,,1
53e99859b7602d9702094291,53e9bb94b7602d97047dd6a9,Directed,9505,,1
53e99859b7602d9702094291,53e9bd23b7602d97049ae29c,Directed,9506,,1
53e99859b7602d9702094291,53e9be1ab7602d9704ad4a49,Directed,9507,,1
53e99859b7602d9702094291,56d85bacdabfae2eee540666,Directed,9508,,1
53e99859b7602d9702094291,53e99905b7602d970213f690,Directed,9510,,1
53e9985fb7602d970209b35a,53e99f5cb7602d970282b9de,Directed,9976,,1
53e9985fb7602d970209b35a,53e9a00ab7602d97028ef5d6,Directed,9978,,1
53e9985fb7602d970209b35a,53e9a5f6b7602d9702f2135f,Directed,9983,,1
53e9985fb7602d970209b35a,53e9aab0b7602d970342a046,Directed,9984,,1
53e9985fb7602d970209b35a,53e9aabdb7602d970343c385,Directed,9985,,1
53e9985fb7602d970209b35a,53e9b45eb7602d9703f5c7ca,Directed,9988,,1
53e9985fb7602d970209b35a,53e9b667b7602d97041cce54,Directed,9989,,1
53e99860b7602d970209c597,53e9a63eb7602d9702f6be5f,Directed,10069,,1
53e99860b7602d970209c597,53e9a683b7602d9702fb8c2b,Directed,10070,,1
53e99860b7602d970209c597,53e9a7acb7602d97030e9db9,Directed,10071,,1
53e99860b7602d970209c597,53e9a914b7602d9703267dd5,Directed,10073,,1
53e99860b7602d970209d61b,53e9b213b7602d9703ca87b8,Directed,10379,,1
53e99860b7602d970209d61b,53e9bbf0b7602d9704848da8,Directed,10391,,1
53e99866b7602d970209e3fc,53e9a073b7602d970295b0ee,Directed,10432,,1
53e99866b7602d970209fb8e,53e99ea6b7602d970276df8a,Directed,10493,,1
53e99866b7602d970209fb8e,53e99ef4b7602d97027c3578,Directed,10494,,1
53e99866b7602d970209fb8e,53e9b116b7602d9703b95deb,Directed,10509,,1
53e99866b7602d970209fb8e,53e9b58eb7602d97040d2493,Directed,10515,,1
53e99866b7602d970209fb8e,53e9b8b4b7602d9704493106,Directed,10518,,1
53e99866b7602d970209fb8e,5736968d6e3b12023e597976,Directed,10525,,1
53e99866b7602d970209ff0e,53e9aa2bb7602d9703397e38,Directed,10533,,1
53e99866b7602d970209ff0e,53e9b5e6b7602d97041363e8,Directed,10535,,1
53e99866b7602d970209ff0e,53e9b810b7602d97043c6e4a,Directed,10539,,1
